STATE,YEAR,INCOME
Australian Capital Territory,2023,1640.47
New South Wales,2023,1425.27
Northern Territory,2023,1477.00
Queensland,2023,1404.58
South Australia,2023,1279.00
Tasmania,2023,1220.22
Victoria,2023,1388.43
Western Australia,2023,1540.28
