Year,NSW,VIC,QLD,SA,WA,NT,TAS,ACT,National_Average
2020,123.2,123.9,124.5,120.7,120.8,134.7,131.0,122.35,125.1
2021,148.7,147.6,148.9,142.8,146.0,155.6,150.7,145.9,148.3
2022,184.9,184.3,184.4,179.7,181.9,199.0,191.9,189.1,186.9
2023,190.9,189.7,191.2,186.3,185.4,201.0,192.7,192.4,191.2
2024,198.0,197.8,202.4,189.6,186.6,188.7,196.5,203.55,195.4
